"","OP_CODE","YEAR","VESSEL","SURVEY","BEST_LAT_DD","BEST_DEPTH_M","AREA_SWEPT_MSQ","arrowtooth","aurora","bocaccio","canary","chilipepper","cowcod","darkblotched","Dover","English","greenspotted","greenstriped","halfbanded","hake","LST","petrale","POP","redbanded","rosethorn","rougheye","sablefish","sanddab","sharpchin","shortbelly","dogfish","SST","widow","yelloweye","yellowtail"
"1",199801001001,1998,1,1,48.1441666666665,268.9472,16574.28280185,73.514,0,0,0,0,0,0,50.144,0,0,0,0,3.178,0,0,0,0,0,0,0,0,0,0,2.024,17.219,0,0,0
"2",199801001002,1998,1,1,48.148583333333,444.262,13820.46901752,30.516,0,0,0,0,0,0,80.383,0,0,0,0,0,0,0,0,0,0,0,8.018,0,0,0,1.92,41.077,0,0,0
"3",199801001003,1998,1,1,47.847083333333,193.4006,14903.2044,14.521,0,0,0,0,0,0,48.437,0,0,0,0,1.425,0,1.819,0,0,0,0,3.28,0,0,0,81.088,0.322,0,0,0
"4",199801001004,1998,1,1,47.824166666666,306.7198,22079.406275,26.306,0,0,0,0,0,0,35.329,0,0,0,0,8.705,0,0,0,0,0,0,10.237,0,0,0,1.52,33.351,0,0,0
"5",199801001005,1998,1,1,47.823,914.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,169.959,0,0,0,0,0,5.198,0,0,0,0,6.52,0,0,0
"6",199801001006,1998,1,1,47.7969166666665,1044.7109,24818.3571168,0,0,0,0,0,0,0,0,0,0,0,0,0,88.611,0,0,0,0,0,0,0,0,0,0,13.743,0,0,0
"7",199801001007,1998,1,1,47.7925,1139.0989,29633.96851128,0,0,0,0,0,0,0,0,0,0,0,0,0,78.016,0,0,0,0,0,5.945,0,0,0,0,21.416,0,0,0
"8",199801001008,1998,1,1,46.812083333333,466.1504,15791.6194,3.014,0,0,0,0,0,0,102.078,0,0,0,0,2.8,0,0,0,0,0,0,15.006,0,0,0,0,11.56,0,0,0
"9",199801001009,1998,1,1,46.8141666666665,539.7696,21809.90592,0,0,0,0,0,0,0,113.681,0,0,0,0,3.016,3.948,0,0,0,0,0,12.734,0,0,0,0,10.429,0,0,0
"10",199801001010,1998,1,1,46.8139166666665,753.8173,21281.77183422,0,0,0,0,0,0,0,0,0,0,0,0,0,20.005,0,0,0,0,0,3.071,0,0,0,0,1.179,0,0,0
"11",199801001011,1998,1,1,46.7966666666665,1046.3465,27775.54776,0,0,0,0,0,0,0,0,0,0,0,0,0,41.949,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0
"12",199801001012,1998,1,1,46.7725,1139.0989,37130.39056356,0,0,0,0,0,0,0,0,0,0,0,0,0,71.902,0,0,0,0,0,13.21,0,0,0,0,8.138,0,0,0
"13",199801001014,1998,1,1,46.119083333333,424.4625,18423.96337304,6.036,0,0,0,0,0,0,20.699,0,0,0,0,1.111,0,0,0,0,0,0,20.516,0,0,0,0,64.173,0,0,0
"14",199801001015,1998,1,1,45.5227499999995,1231.056,21579.4932,0,0,0,0,0,0,0,0,0,0,0,0,0,33.118,0,0,0,0,0,38.579,0,0,0,0,2.318,0,0,0
"15",199801001017,1998,1,1,45.481333333333,522.54,10788.3402,0,0,0,0,0,0,0,23.295,0,0,0,0,5.087,9.578,0,0,0,0,0,0,0,0,0,0,9.321,0,0,0
"16",199801001018,1998,1,1,45.4614999999995,397.418,18080.2933751,5.214,0,0,0,0,0,0,42.224,0,0,0,0,3.101,0.425,0,0,0,0,0,9.218,0,0,0,1.899,12.591,0,0,0
"17",199801001019,1998,1,1,45.4862499999995,292.5558,16841.77488,3.392,0,0,0,0,0,0,34.402,0,0,0,0,36.584,0,0,0,0,0,0,3.932,0,0,0,0,15.594,0,0,0
"18",199801001020,1998,1,1,44.826083333333,298.3538,17611.476,6,0,0,0,0,0,0,58.6,0,0,0,0,18.5,0,0,0,0,0,0,20,0,0,0,1.4,20,0,0,0
"19",199801001021,1998,1,1,44.8374999999995,400.5458,17830.4325,6.3,0,0,0,0,0,0,23.3,0,0,0,0,14.7,0,0,0,0,0,0,6.5,0,0,0,0,9.8,0,0,0
"20",199801001022,1998,1,1,44.792083333333,449.3869,18179.8605,5.1,0,0,0,0,0,0,6.3,0,0,0,0,11.5,0,0,0,0,0,0,15.7,0,0,0,0,14,0,0,0
"21",199801001023,1998,1,1,44.841416666666,966.0236,27392.223,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,0,0,0,0,0,9.4,0,0,0,0,0.5,0,0,0
"22",199801001024,1998,1,1,44.8609166666665,1069.5718,28399.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,0,0,11.8,0,0,0,0,10.4,0,0,0
"23",199801001026,1998,1,1,44.1469999999995,1275.6987,18631.3162,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,17.2,0,0,0,0,1.8,0,0,0
"24",199801001027,1998,1,1,44.1332499999995,999.6871,26351.42736288,0,0,0,0,0,0,0,23,0,0,0,0,0,86,0,0,0,0,0,17.5,0,0,0,0,36.3,0,0,0
